ArchivesSpace field code (please don't edit this row),collection_id,ead,res_uri,ref_id,title,unit_id,hierarchy,level,other_level,publish,restrictions_flag,processing_note,l_lang,l_langscript,n_langmaterial,p_langmaterial,l_lang_2,l_langscript_2,n_langmaterial_2,p_langmaterial_2,l_lang_3,l_langscript_3,n_langmaterial_3,p_langmaterial_3,l_lang_4,l_langscript_4,n_langmaterial_4,p_langmaterial_4,dates_label,begin,end,date_type,expression,date_certainty,dates_label_2,begin_2,end_2,date_type_2,expression_2,date_certainty_2,dates_label_3,begin_3,end_3,date_type_3,expression_3,date_certainty_3,dates_label_4,begin_4,end_4,date_type_4,expression_4,date_certainty_4,dates_label_5,begin_5,end_5,date_type_5,expression_5,date_certainty_5,portion,number,extent_type,container_summary,physical_details,dimensions,portion_2,number_2,extent_type_2,container_summary_2,physical_details_2,dimensions_2,cont_instance_type,type_1,indicator_1,barcode,type_2,indicator_2,type_3,indicator_3,cont_instance_type_2,type_1_2,indicator_1_2,barcode_2,type_2_2,indicator_2_2,type_3_2,indicator_3_2,digital_object_id,digital_object_title,digital_object_publish,digital_object_link,digital_object_link_publish,thumbnail,thumbnail_publish,people_agent_record_id_1,people_agent_header_1,people_agent_role_1,people_agent_relator_1,people_agent_record_id_2,people_agent_header_2,people_agent_role_2,people_agent_relator_2,people_agent_record_id_3,people_agent_header_3,people_agent_role_3,people_agent_relator_3,people_agent_record_id_4,people_agent_header_4,people_agent_role_4,people_agent_relator_4,people_agent_record_id_5,people_agent_header_5,people_agent_role_5,people_agent_relator_5,families_agent_record_id_1,families_agent_header_1,families_agent_role_1,families_agent_relator_1,families_agent_record_id_2,families_agent_header_2,families_agent_role_2,families_agent_relator_2,corporate_entities_agent_record_id_1,corporate_entities_agent_header_1,corporate_entities_agent_role_1,corporate_entities_agent_relator_1,corporate_entities_agent_record_id_2,corporate_entities_agent_header_2,corporate_entities_agent_role_2,corporate_entities_agent_relator_2,corporate_entities_agent_record_id_3,corporate_entities_agent_header_3,corporate_entities_agent_role_3,corporate_entities_agent_relator_3,subject_1_record_id,subject_1_term,subject_1_type,subject_1_source,subject_2_record_id,subject_2_term,subject_2_type,subject_2_source,subject_3_record_id,subject_3_term,subject_3_type,subject_3_source,subject_4_record_id,subject_4_term,subject_4_type,subject_4_source,subject_5_record_id,subject_5_term,subject_5_type,subject_5_source,subject_6_record_id,subject_6_term,subject_6_type,subject_6_source,n_abstract,p_abstract,l_abstract,n_accessrestrict,p_accessrestrict,l_accessrestrict,b_accessrestrict,e_accessrestrict,t_accessrestrict,n_acqinfo,p_acqinfo,l_acqinfo,n_arrangement,p_arrangement,l_arrangement,n_bioghist,p_bioghist,l_bioghist,n_custodhist,p_custodhist,l_custodhist,n_dimensions,p_dimensions,l_dimensions,n_odd,p_odd,l_odd,n_physdesc,p_physdesc,l_physdesc,n_physfacet,p_physfacet,l_physfacet,n_physloc,p_physloc,l_physloc,n_prefercite,p_prefercite,l_prefercite,n_processinfo,p_processinfo,l_processinfo,n_relatedmaterial,p_relatedmaterial,l_relatedmaterial,n_scopecontent,p_scopecontent,l_scopecontent,n_separatedmaterial,p_separatedmaterial,l_separatedmaterial,n_userestrict,p_userestrict,l_userestrict,
,,mt839rq8746,,mk920zb7189,"Official Court Transcript, 9 April 1946 M & A",H-0105,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),104 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/mk920zb7189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7355-7457,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,zj607hy9889,"Official Court Transcript, 10 April 1946 M & A",H-0106,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),92 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/zj607hy9889,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7458-7548,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,cc883pk2315,"Official Court Transcript, 11 April 1946 M & A",H-0107,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),96 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/cc883pk2315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7549-7642,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,gd103gj5246,"(a) Official Court Transcript, 12 April 1946 M & A, (b) Errata Sheet for 12 April 1946, Morning Session, (c) Errata Sheet (in duplicate) attaching pp. 7740A-7740D as part of 12 April 1946, Afternoon Session",H-0108,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),116 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/gd103gj5246,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,(a) pp. 7643-7740,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,dd599qh3743,"Official Court Transcript, 13 April 1946 M",H-0109,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),46 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/dd599qh3743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7741-7783,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,xv306qs0352,"Official Court Transcript, 15 April 1946 M & A",H-0110,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),90 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/xv306qs0352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7784-7872,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,hb395rq3539,"Official Court Transcript, 16 April 1946 M & A",H-0111,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),139 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/hb395rq3539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,"pp. 7873-7964 (16 April 1946 Morning Session, pp. 7873-7917, contained in duplicate.)",1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,sp622yc9434,"Official Court Transcript, 17 April 1946 M & A",H-0112,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),118 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/sp622yc9434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 7965-8081,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,fg806km7018,"Official Court Transcript, 18 April 1946 M & A",H-0113,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),83 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/fg806km7018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,"pp. 8083-8164 (First page of 18 April 1946, Morning Session, p. 8082, missing.)",1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,mt839rq8746,,zh008cq3905,"Official Court Transcript, 23 April 1946 M & A",H-0114,3,Item,,1,,,,,,,,,,,,,,,,,,,,1946-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole,1,item(s),97 pages,Folders,,,,,,,,text,Box,1,,,,,,,,,,,,,,,,,https://purl.stanford.edu/zh008cq3905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85043413,English language,function,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRELIMINARY NOTES TO COURT TRANSCRIPTS: Transcript page numbers as indicated are inclusive. For purpose of present inventory, transcript page numbers have been checked at beginning and end of each Morning and Afternoon Court Session only.",1,,,,,,,,,,,pp. 8165-8260,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
